"","fit","lwr","upr"
"1",0.228228445521082,-0.346367274158607,0.802824165200771
"2",0.224150994683069,-0.350444565680402,0.798746555046541
"3",0.223850190567218,-0.35074528885436,0.798445669988797
"4",0.225727878186869,-0.348867694249224,0.800323450622962
"5",0.22903410649461,-0.345561636813606,0.803629849802827
"6",0.235845071527885,-0.338750997699924,0.810441140755695
"7",0.238902738110792,-0.335693623135817,0.8134990993574
"8",0.238234640072367,-0.336361616051985,0.81283089619672
"9",0.227988682776514,-0.346607092021031,0.802584457574059
"10",0.205219041191073,-0.369376384251039,0.779814466633186
"11",0.21828689030587,-0.356308646324126,0.792882426935867
"12",0.223337099926089,-0.351258538317005,0.797932738169183
"13",0.23218884392414,-0.342407006190357,0.806784694038636
"14",0.227601092415979,-0.34699477893472,0.802196963766678
"15",0.236815999541934,-0.337780238048008,0.811412237131876
"16",0.243093678583719,-0.331502877377801,0.81769023454524
"17",0.246903301035021,-0.327693665116153,0.821500267186194
"18",0.237144192921487,-0.337451906692263,0.811740292535238
"19",0.214414187948069,-0.360181585202536,0.789009961098674
"20",0.230358648719997,-0.344238321225303,0.804955618665296
"21",0.208683136072955,-0.365912831748509,0.783279103894418
"22",0.185468132202537,-0.389126454397794,0.760062718802869
"23",0.173070509332069,-0.401522947461079,0.747663966125216
"24",0.226938357023395,-0.347656709116425,0.801533423163216
"25",0.238432817605207,-0.336163132227367,0.813028767437781
"26",0.222142164123247,-0.352453378866545,0.796737707113039
"27",0.223154583119162,-0.351440963815161,0.797750130053485
"28",0.232691852711767,-0.341903813844328,0.807287519267863
"29",0.227098180446531,-0.347497307736697,0.801693668629759
"30",0.228181847767356,-0.346413695142115,0.802777390676827
"31",0.230192809312258,-0.344402906966733,0.80478852559125
"32",0.230048232340729,-0.344547570636606,0.804644035318065
"33",0.231442149955869,-0.343153665254931,0.806037965166669
"34",0.232925954164462,-0.341669791654603,0.807521699983528
"35",0.237533750963048,-0.337062183444016,0.812129685370113
"36",0.247684881312485,-0.32691141549604,0.822281178121011
"37",0.262076399747971,-0.312520681996605,0.836673481492548
"38",0.250531237148521,-0.324065154244526,0.825127628541568
"39",0.240395361523221,-0.334200487582145,0.814991210628587
"40",0.242818765799554,-0.331777579885417,0.817415111484526
"41",0.234456925515214,-0.340139163972937,0.809053015003365
"42",0.238883185856713,-0.335713066506047,0.813479438219472
"43",0.234177878721766,-0.340418180241402,0.808773937684935
"44",0.232191672836845,-0.34240407947014,0.80678742514383
"45",0.230285160546335,-0.344310490701766,0.804880811794436
"46",0.233187950736346,-0.341407904199296,0.807783805671987
"47",0.2310267514895,-0.343568870579687,0.805622373558688
"48",0.232379623905126,-0.342215883896253,0.806975131706506
"49",0.237198902960175,-0.337396847912375,0.811794653832724
"50",0.23547434622149,-0.339121267895526,0.810069960338506
"51",0.23006153035209,-0.344533804485037,0.804656865189216
"52",0.233368017281515,-0.341227693441603,0.807963728004633
"53",0.227055107340744,-0.347540389304704,0.801650603986193
"54",0.207308726984461,-0.367286502761622,0.781903956730544
"55",0.214774045556119,-0.359821308292936,0.789369399405175
"56",0.20978789541385,-0.36480752393149,0.78438331475919
"57",0.225302834733848,-0.349292835582109,0.799898505049805
"58",0.23238692702826,-0.342208959833002,0.806982813889521
"59",0.237693685501548,-0.336902337293684,0.81228970829678
"60",0.2435017201409,-0.331094464968971,0.818097905250771
"61",0.252809590150252,-0.321786936501779,0.827406116802282
"62",0.251104454491506,-0.32349202756336,0.825700936546371
"63",0.220586470453008,-0.354008802493578,0.795181743399594
"64",0.21790333944112,-0.356692137150112,0.792498816032352
"65",0.230688135576914,-0.34390775963183,0.805284030785659
